,종류,공고번호,발견장소,특징,성별,상태
4160,전북-군산-2024-00376,옥산면 회미로 31..,-,암컷,방사,코리안숏헤어|삼색
4164,서울-용산-2024-00243,대사관로 16길 2..,없음,수컷,방사,"길고양이|검정, 흰색"
4168,전북-전주-2024-01080,송천3길22,"광견병,종합에방접종..",수컷,방사,KSH|치즈색
4172,전북-전주-2024-01081,완산구 태평2길 2..,"종합예방주사, 광견..",수컷,방사,한국고양이|흰색 노란색
4176,서울-노원-2024-00264,동일로178길59-..,양호,암컷,방사,ksh|삼색
4180,전북-정읍-2024-00574,고부하만길57,없음,암컷,방사,한국고양이|삼색
4184,광주-광주광역시-2024-00633,북구 연제동 선병원..,없음,암컷,방사,코숏|노
4188,경기-광주-2024-00731,광주시 영동길 65..,길고양이,암컷,방사,한국고양이|삼색
4192,강원-홍천-2024-00116,화촌면 구룡령로 9..,순함,암컷,방사,"한국고양이|치즈색, 갈색 등"
4196,서울-동대문-2024-00196,한천로32길 20-..,수유는 완료,암컷,방사,코숏|고등어
4200,광주-광산-2024-00215,광산구 사암로215..,없음,수컷,방사,코숏|흰.검
4204,광주-남구-2024-00060,광주광역시 남구 월..,특이사항 없음,수컷,중성화,"코리안숏헤어|흰색, 노란색"
4208,충남-천안-2024-00718,"다가말2길14, 이..",없음,암컷,방사,고등어|고등어
4212,광주-광산-2024-00213,광산구 산정공원로 ..,없음,암컷,중성화,코숏|갈.검
4216,광주-광산-2024-00217,광산구 월곡산정로 ..,없음,암컷,방사,코숏|흰.검
4220,광주-광주광역시-2024-00635,북구 하서로 523..,단미,수컷,방사,코숏|검
4224,경기-광주-2024-00738,도척면 독고개길 3..,.,암컷,방사,한국고양이|흰색
4228,경기-군포-2024-00242,송정중앙공원 CU ..,없음,수컷,방사,코숏|치즈
4232,경남-마산-2024-00676,(상남동)노산북8길..,없음,미상,포획,한국고양이|노랑 흰색
4236,경북-울진-2024-00070,경상북도 울진군 죽..,길고양이,암컷,방사,한국고양이|황색
4240,전북-정읍-2024-00572,영원은선길28,없음,수컷,방사,한국고양이|W
4244,경기-광주-2024-00730,광주시 초월읍 무갑..,길고양이,암컷,방사,한국고양이|검정색
4248,경남-마산-2024-00673,(내서읍)송평로 4..,없음,미상,포획,한국고양이|연갈색 흰색
4252,경남-창원-2024-00495,(상남동)상남로 7..,없음,미상,포획,한국고양이|갈색 검정
4256,경남-창원-2024-00499,(남양동)가음로57..,없음,미상,포획,한국고양이|노랑 갈색 흰색
4260,경기-군포-2024-00243,송부로74번길 24..,없음,수컷,방사,코숏|고등어
